,movie_id,title,tags
0,1.0,토르: 라그나로크,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela. sequel superhero based on comic alien planet female villain norse mythology aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) norse god loki 모험 판타지 액션 코미디 SF Idris Elba Chris Hemsworth Tom Hiddleston Taika Waititi"
1,2.0,스파이더맨: 홈커밍,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges. new york city washington dc, usa high school superhero based on comic reboot marvel cinematic universe (mcu) 모험 드라마 액션 SF Jon Watts"
2,3.0,가디언즈 오브 갤럭시 Vol. 2,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage. sequel superhero based on comic misfit space aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) 모험 액션 SF Zoe Saldana Michael Rooker Vin Diesel Bradley Cooper Chris Pratt Karen Gillan Dave Bautista James Gunn
3,4.0,로건,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces. cyborg experiment self-destruction mutant future dystopia immortality road trip sequel superhero based on comic super power neo-western troubled past life on the margin 드라마 액션 SF Patrick Stewart Hugh Jackman Stephen Merchant Boyd Holbrook James Mangold"
4,5.0,닥터 스트레인지,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil. magic time training superhero based on comic sorcerer doctor neurosurgeon wizard aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) 모험 판타지 액션 SF Scott Derrickson"
5,6.0,엑스맨: 아포칼립스,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan. hero mutant superhero based on comic superhuman super power superhero team world domination aftercreditsstinger 1980s 모험 판타지 액션 SF Bryan Singer"
6,7.0,캡틴 아메리카: 시빌 워,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies. civil war sequel superhero based on comic aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) 모험 액션 SF Chris Evans Anthony Russo Joe Russo"
7,8.0,데드풀,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life. anti hero mercenary superhero based on comic breaking the fourth wall aftercreditsstinger duringcreditsstinger 모험 액션 코미디 Jed Rees T. J. Miller Morena Baccarin Gina Carano Ed Skrein Brianna Hildebrand Taylor Hickson Tim Miller"
8,9.0,판타스틱 4,"Four young outsiders teleport to a dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy. teleportation transformation telekinesis portal superhero based on comic superhero team fantastic four invisible person 모험 액션 SF Simon Kinberg Josh Trank Steven E. Rivkin"
9,10.0,앤트맨,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world. ant shrinking superhero based on comic miniaturization miniature people aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) special suit ?人 모험 액션 SF Peyton Reed"
10,11.0,어벤져스: 에이지 오브 울트론,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure. artificial intelligence sequel superhero based on comic superhero team duringcreditsstinger marvel cinematic universe (mcu) evil robot 모험 액션 SF Chris Hemsworth Joss Whedon"
